subject,Eprime.LevelName,Sample,Cycle,Running,Procedure,ITI,CSplus,CSmin1,CSmin2,VasScore_verwachting,VasScore_Angst,VasScore_PreCS1,VasScore_PreCS2,VasScore_PreCS3,VasScore_PostCS1,VasScore_PostCS2,VasScore_PostCS3,VasScore_FilmOnaangenaam,VasScore_CueOnaangenaam,OefenVASverwachting.RT,OefenVASverwachting.RESP,OefenVASAngst.RT,OefenVASAngst.RESP,CS1VAS.RT,CS1VAS.RESP,CS2VAS.RT,CS2VAS.RESP,CS3VAS.RT,CS3VAS.RESP,CSmin1Verwachting.RT,CSmin1Verwachting.RESP,CSmin1Angst.RT,CSmin1Angst.RESP,CSmin2Verwachting.RT,CSmin2Verwachting.RESP,CSmin2Angst.RT,CSmin2Angst.RESP,CSplusVerwachting.RT,CSplusVerwachting.RESP,CSplusAngst.RT,CSplusAngst.RESP,Geslacht.RESP,Leeftijd.RESP
1,Header_,NA,NA,Header,Header,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,PracticeVAS_1,1,1,PracticeVAS,OefenVASproc,6000,NA,NA,NA,51,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,3061,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,PracticeVAS_1,2,2,PracticeVAS,OefenVASproc,6000,NA,NA,NA,53,0,NA,NA,NA,NA,NA,NA,NA,NA,3144,1,2240,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,PracticeVAS_1,3,3,PracticeVAS,OefenVASproc,6000,NA,NA,NA,97,6,NA,NA,NA,NA,NA,NA,NA,NA,0,,1958,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,HabTrials_3,1,1,HabTrials,CS3,4000,NA,NA,NA,44,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,HabTrials_2,2,1,HabTrials,CS2,6000,NA,NA,NA,50,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,HabTrials_1,3,1,HabTrials,CS1,6000,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,HabTrials_2,4,2,HabTrials,CS2,4000,NA,NA,NA,36,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,HabTrials_3,5,2,HabTrials,CS3,6000,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,HabTrials_1,6,2,HabTrials,CS1,2000,NA,NA,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
